ID	Gene_name	Alternative_name	Gene_name_use	Alternative_name_use	Product_name
NCBI_658	aac(3)-If	NA	AAC(3)-If		aminoglycoside_N-acetyltransferase_AAC(3)-If
NCBI_6548	aac(3)-Ig	NA	AAC(3)-Ig		aminoglycoside_N-acetyltransferase_AAC(3)-Ig
NCBI_2539	aac(3)-Ih	NA	AAC(3)-Ih		aminoglycoside_N-acetyltransferase_AAC(3)-Ih
NCBI_6552	aac(3)-Ii	NA	AAC(3)-Ii		aminoglycoside_N-acetyltransferase_AAC(3)-Ii
NCBI_82	aac(3)-IIa	NA	AAC(3)-IIa		aminoglycoside_N-acetyltransferase_AAC(3)-IIa
NCBI_7512	aac(3)-IIb	NA	AAC(3)-IIb		aminoglycoside_N-acetyltransferase_AAC(3)-IIb
NCBI_84	aac(3)-IIc	NA	AAC(3)-IIc		aminoglycoside_N-acetyltransferase_AAC(3)-IIc
NCBI_5764	aac(3)-IId	aacC2d	AAC(3)-IId	aacC2d	aminoglycoside_N-acetyltransferase_AAC(3)-IId
NCBI_83	aac(3)-IId	aacC2d	AAC(3)-IId	aacC2d	aminoglycoside_N-acetyltransferase_AAC(3)-IId
NCBI_5763	aac(3)-IIe	aacC2e	AAC(3)-IIe	aacC2e	aminoglycoside_N-acetyltransferase_AAC(3)-IIe
NCBI_6034	aac(3)-IIe	aacC2e	AAC(3)-IIe	aacC2e	aminoglycoside_N-acetyltransferase_AAC(3)-IIe
NCBI_6725	aac(3)-IIe	aacC2e	AAC(3)-IIe	aacC2e	aminoglycoside_N-acetyltransferase_AAC(3)-IIe
NCBI_85	aac(3)-IIe	aacC2e	AAC(3)-IIe	aacC2e	aminoglycoside_N-acetyltransferase_AAC(3)-IIe
NCBI_6638	aac(3)-IIg	NA	AAC(3)-IIg		aminoglycoside_N-acetyltransferase_AAC(3)-IIg
NCBI_80	aac(3)-IIIa	aacC3	AAC(3)-IIIa	aacC3	aminoglycoside_N-acetyltransferase_AAC(3)-IIIa
ARGANNOT_9	aac(3)-IIIb	NA	AAC(3)-IIIb		aminoglycoside_N-acetyltransferase_AAC(3)-IIIb
NCBI_8097	aac(3)-IIIb	NA	AAC(3)-IIIb		aminoglycoside_N-acetyltransferase_AAC(3)-IIIb
NCBI_81	aac(3)-IIIc	NA	AAC(3)-IIIc		aminoglycoside_N-acetyltransferase_AAC(3)-IIIc
ARGANNOT_16	aac-IVa	NA	AAC(3)-Iva		aminoglycoside_N-acetyltransferase_AAC(3)-IVa
NCBI_5915	aac(3)-IVa	aacC4	AAC(3)-IVa	aacC4	aminoglycoside_N-acetyltransferase_AAC(3)-IVa
CARD_2625	AAC(3)-IVb	AAC(3)-IVb	AAC(3)-IVb		aminoglycoside_N-acetyltransferase_AAC(3)-IVb
NCBI_3845	aac(3)-IVb	NA	AAC(3)-IVb		aminoglycoside_N-acetyltransferase_AAC(3)-IVb
NCBI_86	aac(3)-IXa	aacC9	AAC(3)-IXa	aacC9	aminoglycoside_N-acetyltransferase_AAC(3)-IXa
NCBI_5713	aac(3)-VIa	NA	AAC(3)-VIa		aminoglycoside_N-acetyltransferase_AAC(3)-VIa
NCBI_90	aac(3)-VIa	NA	AAC(3)-VIa		aminoglycoside_N-acetyltransferase_AAC(3)-VIa
NCBI_89	aac(3)-VIIa	aacC7	AAC(3)-VIIa	aacC7	aminoglycoside_N-acetyltransferase_AAC(3)-VIIa
NCBI_7145	aac(3)-VIII	NA	AAC(3)-VIII		aminoglycoside_N-acetyltransferase_AAC(3)-VIII
NCBI_87	aac(3)-VIII	NA	AAC(3)-VIII		aminoglycoside_N-acetyltransferase_AAC(3)-VIII
NCBI_88	aac(3)-VIII	NA	AAC(3)-VIII		aminoglycoside_N-acetyltransferase_AAC(3)-VIII
ARGANNOT_27	aac8	NA	AAC(3)-VIIIa	AAC(3)-VIIIa	aminoglycoside N-acetyltransferase AAC(3)-VIIIa
NCBI_659	aac(3)-VIIIa	aacC8	AAC(3)-VIIIa	aacC8	aminoglycoside_N-acetyltransferase_AAC(3)-VIIIa
NCBI_6599	aac(3)-Xa	aac(3)-X	AAC(3)-Xa		aminoglycoside_N-acetyltransferase_AAC(3)-Xa
NCBI_7810	aac(3)-XI	NA	AAC(3)-XI		aminoglycoside_N-acetyltransferase_AAC(3)-XI
ARGANNOT_1858	aac(6')	NA	AAC(6')		aminoglycoside 6'-N-acetyltransferase
NCBI_6298	aac(6')_Acine	NA	AAC(6')_Acine		AAC(6')-Ighjkrstuvwx_family_aminoglycoside_N-acetyltransferase
NCBI_1985	aac(6')_E111	NA	AAC(6')_E111		aminoglycoside_6'-N-acetyltransferase_AAC(6')-E111
NCBI_7101	aac(6')_E141	NA	AAC(6')_E141		aminoglycoside_6'-N-acetyltransferase_AAC(6')-E141
NCBI_5254	aac(6')_E449	NA	AAC(6')_E449		aminoglycoside_6'-N-acetyltransferase_AAC(6')-E449
NCBI_3539	aac(6')_E526	NA	AAC(6')_E526		aminoglycoside_6'-N-acetyltransferase_AAC(6')-E526
NCBI_8120	aac(6')_E550	NA	AAC(6')_E550		aminoglycoside_6'-N-acetyltransferase_AAC(6')-E550
NCBI_5255	aac(6')_E553	NA	AAC(6')_E553		aminoglycoside_6'-N-acetyltransferase_AAC(6')-E553
NCBI_5744	aac(6')_E606	NA	AAC(6')_E606		aminoglycoside_6'-N-acetyltransferase_AAC(6')-E606
NCBI_5256	aac(6')_E64	NA	AAC(6')_E64		aminoglycoside_6'-N-acetyltransferase_AAC(6')-E64
NCBI_7054	aac(6')_E657	NA	AAC(6')_E657		aminoglycoside_6'-N-acetyltransferase_AAC(6')-E657
NCBI_2895	aac(6')_E963	NA	AAC(6')_E963		aminoglycoside_6'-N-acetyltransferase_AAC(6')-E963
NCBI_6452	aac(6')_Entco	NA	AAC(6')_Entco		aminoglycoside_6'-N-acetyltransferase
NCBI_6453	aac(6')_Entco	NA	AAC(6')_Entco		aminoglycoside_6'-N-acetyltransferase
NCBI_6454	aac(6')_Entco	NA	AAC(6')_Entco		aminoglycoside_6'-N-acetyltransferase
NCBI_6785	aac(6')_Entco	NA	AAC(6')_Entco		aminoglycoside_6'-N-acetyltransferase
NCBI_7614	aac(6')_Entco	NA	AAC(6')_Entco		aminoglycoside_6'-N-acetyltransferase
NCBI_7901	aac(6')_Entco	NA	AAC(6')_Entco		aminoglycoside_6'-N-acetyltransferase
NCBI_7972	aac(6')_Ia_fam	NA	AAC(6')_Ia_fam		AAC(6')-Ia_family_aminoglycoside_6'-N-acetyltransferase
NCBI_2291	aac(6')_Serra	NA	AAC(6')_Serra		aminoglycoside_6'-N-acetyltransferase
NCBI_6288	aac(6')_Serra	NA	AAC(6')_Serra		aminoglycoside_6'-N-acetyltransferase
NCBI_6740	aac(6')_Serra	NA	AAC(6')_Serra		aminoglycoside_6'-N-acetyltransferase
NCBI_6834	aac(6')_Serra	NA	AAC(6')_Serra		aminoglycoside_6'-N-acetyltransferase
NCBI_6896	aac(6')_Serra	NA	AAC(6')_Serra		aminoglycoside_6'-N-acetyltransferase
NCBI_7069	aac(6')_Serra	NA	AAC(6')_Serra		aminoglycoside_6'-N-acetyltransferase
NCBI_7529	aac(6')_Serra	NA	AAC(6')_Serra		aminoglycoside_6'-N-acetyltransferase
NCBI_7530	aac(6')_Serra	NA	AAC(6')_Serra		aminoglycoside_6'-N-acetyltransferase
NCBI_7531	aac(6')_Serra	NA	AAC(6')_Serra		aminoglycoside_6'-N-acetyltransferase
NCBI_7533	aac(6')_Serra	NA	AAC(6')_Serra		aminoglycoside_6'-N-acetyltransferase
NCBI_7535	aac(6')_Serra	NA	AAC(6')_Serra		aminoglycoside_6'-N-acetyltransferase
NCBI_7536	aac(6')_Serra	NA	AAC(6')_Serra		aminoglycoside_6'-N-acetyltransferase
NCBI_7651	aac(6')_Serra	NA	AAC(6')_Serra		aminoglycoside_6'-N-acetyltransferase
NCBI_7674	aac(6')_Serra	NA	AAC(6')_Serra		aminoglycoside_6'-N-acetyltransferase
NCBI_7687	aac(6')_Serra	NA	AAC(6')_Serra		aminoglycoside_6'-N-acetyltransferase
NCBI_7726	aac(6')_Serra	NA	AAC(6')_Serra		aminoglycoside_6'-N-acetyltransferase
NCBI_7758	aac(6')_Serra	NA	AAC(6')_Serra		aminoglycoside_6'-N-acetyltransferase
NCBI_7830	aac(6')_Serra	NA	AAC(6')_Serra		aminoglycoside_6'-N-acetyltransferase
NCBI_7838	aac(6')_Serra	NA	AAC(6')_Serra		aminoglycoside_6'-N-acetyltransferase
NCBI_7842	aac(6')_Serra	NA	AAC(6')_Serra		aminoglycoside_6'-N-acetyltransferase
NCBI_7859	aac(6')_Serra	NA	AAC(6')_Serra		aminoglycoside_6'-N-acetyltransferase
NCBI_7865	aac(6')_Serra	NA	AAC(6')_Serra		aminoglycoside_6'-N-acetyltransferase
NCBI_7875	aac(6')_Serra	NA	AAC(6')_Serra		aminoglycoside_6'-N-acetyltransferase
NCBI_7883	aac(6')_Serra	NA	AAC(6')_Serra		aminoglycoside_6'-N-acetyltransferase
NCBI_7928	aac(6')_Serra	NA	AAC(6')_Serra		aminoglycoside_6'-N-acetyltransferase
NCBI_7929	aac(6')_Serra	NA	AAC(6')_Serra		aminoglycoside_6'-N-acetyltransferase
NCBI_7930	aac(6')_Serra	NA	AAC(6')_Serra		aminoglycoside_6'-N-acetyltransferase
NCBI_7931	aac(6')_Serra	NA	AAC(6')_Serra		aminoglycoside_6'-N-acetyltransferase
NCBI_7932	aac(6')_Serra	NA	AAC(6')_Serra		aminoglycoside_6'-N-acetyltransferase
NCBI_7934	aac(6')_Serra	NA	AAC(6')_Serra		aminoglycoside_6'-N-acetyltransferase
NCBI_7936	aac(6')_Serra	NA	AAC(6')_Serra		aminoglycoside_6'-N-acetyltransferase
NCBI_8142	aac(6')_Serra	NA	AAC(6')_Serra		aminoglycoside_6'-N-acetyltransferase
NCBI_8152	aac(6')_Serra	NA	AAC(6')_Serra		aminoglycoside_6'-N-acetyltransferase
NCBI_7942	aac(6')_Steno	NA	AAC(6')_Steno		aminoglycoside_6'-N-acetyltransferase
NCBI_8015	aac(6')_Steno	NA	AAC(6')_Steno		aminoglycoside_6'-N-acetyltransferase
NCBI_6418	aac(6')_Strep	NA	AAC(6')_Strep		aminoglycoside_6'-N-acetyltransferase
NCBI_6982	aac(6')_Strep	NA	AAC(6')_Strep		aminoglycoside_6'-N-acetyltransferase
NCBI_7518	aac(6')_Strep	NA	AAC(6')_Strep		aminoglycoside_6'-N-acetyltransferase
NCBI_7675	aac(6')_Strep	NA	AAC(6')_Strep		aminoglycoside_6'-N-acetyltransferase
NCBI_7756	aac(6')_Strep	NA	AAC(6')_Strep		aminoglycoside_6'-N-acetyltransferase
NCBI_7824	aac(6')_Strep	NA	AAC(6')_Strep		aminoglycoside_6'-N-acetyltransferase
NCBI_7840	aac(6')_Strep	NA	AAC(6')_Strep		aminoglycoside_6'-N-acetyltransferase
NCBI_6278	aac(6')_Yersi	NA	AAC(6')_Yersi		aminoglycoside_6'-N-acetyltransferase
NCBI_7951	aac(6')_Yersi	NA	AAC(6')_Yersi		aminoglycoside_6'-N-acetyltransferase
NCBI_7952	aac(6')_Yersi	NA	AAC(6')_Yersi		aminoglycoside_6'-N-acetyltransferase
NCBI_7959	aac(6')_Yersi	NA	AAC(6')_Yersi		aminoglycoside_6'-N-acetyltransferase
NCBI_7964	aac(6')_Yersi	NA	AAC(6')_Yersi		aminoglycoside_6'-N-acetyltransferase
NCBI_7662	aac(6')-29	NA	AAC(6')-29		aminoglycoside_6'-N-acetyltransferase_AAC(6')-29
NCBI_1904	aac(6')-29a	NA	AAC(6')-29a		aminoglycoside_N-acetyltransferase_AAC(6')-29a
NCBI_1905	aac(6')-29b	NA	AAC(6')-29b		aminoglycoside_N-acetyltransferase_AAC(6')-29b
NCBI_7976	aac(6')-30	NA	AAC(6')-30		aminoglycoside_6'-N-acetyltransferase_AAC(6')-30
NCBI_64	aac(6')-30	NA	AAC(6')-30		bifunctional_aminoglycoside_N-acetyltransferase_AAC(6')-30/aminoglycoside_N-acetyltransferase_AAC(6')-Ib'
CARD_997	AAC(6')-31	AAC(6')-31	AAC(6')-31		aminoglycoside_N-acetyltransferase_AAC(6')-31
NCBI_7764	aac(6')-31	NA	AAC(6')-31		aminoglycoside_N-acetyltransferase_AAC(6')-31
NCBI_8039	aac(6')-31	NA	AAC(6')-31		aminoglycoside_N-acetyltransferase_AAC(6')-31
NCBI_8083	aac(6')-31	NA	AAC(6')-31		aminoglycoside_N-acetyltransferase_AAC(6')-31
NCBI_7395	aac(6')-32	NA	AAC(6')-32		aminoglycoside_N-acetyltransferase_AAC(6')-32
NCBI_6713	aac(6')-33	NA	AAC(6')-33		aminoglycoside_6'-N-acetyltransferase_AAC(6')-33
CARD_2104	AAC(6')-34	AAC(6')-34	AAC(6')-34		aminoglycoside_6'-N-acetyltransferase_AAC(6')-34
NCBI_2567	aac(6')-35	NA	AAC(6')-35		aminoglycoside_6'-N-acetyltransferase_AAC(6')-35
NCBI_8123	aac(6')-D292	NA	AAC(6')-D292		aminoglycoside_6'-N-acetyltransferase_AAC(6')-D292
NCBI_5253	aac(6')-D42	NA	AAC(6')-D42		aminoglycoside_6'-N-acetyltransferase_AAC(6')-D42
NCBI_5257	aac(6')-F309	NA	AAC(6')-F309		aminoglycoside_6'-N-acetyltransferase_AAC(6')-F309
NCBI_4130	aac(6')-F72	NA	AAC(6')-F72		aminoglycoside_6'-N-acetyltransferase_AAC(6')-F72
NCBI_91	aac(6')-I30	NA	AAC(6')-I30		aminoglycoside_6'-N-acetyltransferase_AAC(6')-I30
NCBI_6654	aac(6')-Ia	aacA1	AAC(6')-Ia	aacA1	aminoglycoside_6'-N-acetyltransferase_AAC(6')-Ia
NCBI_7298	aac(6')-Ia	aacA1	AAC(6')-Ia	aacA1	aminoglycoside_6'-N-acetyltransferase_AAC(6')-Ia
NCBI_8117	aac(6')-Ia	aacA1	AAC(6')-Ia	aacA1	aminoglycoside_6'-N-acetyltransferase_AAC(6')-Ia
NCBI_3674	aac(6')-Iaa	NA	AAC(6')-Iaa		aminoglycoside_6'-N-acetyltransferase_AAC(6')-Iaa
NCBI_94	aac(6')-Iad	NA	AAC(6')-Iad		aminoglycoside_N-acetyltransferase_AAC(6')-Iad
NCBI_6154	aac(6')-Iae	NA	AAC(6')-Iae		aminoglycoside_6'-N-acetyltransferase_AAC(6')-Iae
ARGANNOT_43	aac6-Iaf	NA	AAC(6')-Iaf	AAC(6')-Iaf	aminoglycoside 6'-N-acetyltransferase AAC(6')-Iaf
NCBI_95	aac(6')-Iaf	NA	AAC(6')-Iaf		aminoglycoside_6'-N-acetyltransferase_AAC(6')-Iaf
NCBI_2127	aac(6')-Iag	NA	AAC(6')-Iag		aminoglycoside_6'-N-acetyltransferase_AAC(6')-Iag
NCBI_96	aac(6')-Iai	NA	AAC(6')-Iai		aminoglycoside_6'-N-acetyltransferase_AAC(6')-Iai
NCBI_2057	aac(6')-Iaj	NA	AAC(6')-Iaj		aminoglycoside_6'-N-acetyltransferase_AAC(6')-Iaj
NCBI_1907	aac(6')-Iak	NA	AAC(6')-Iak		aminoglycoside_N-acetyltransferase_AAC(6')-Iak
NCBI_6354	aac(6')-Iak	NA	AAC(6')-Iak		aminoglycoside_N-acetyltransferase_AAC(6')-Iak
NCBI_7943	aac(6')-Iak	NA	AAC(6')-Iak		aminoglycoside_N-acetyltransferase_AAC(6')-Iak
NCBI_8012	aac(6')-Iak	NA	AAC(6')-Iak		aminoglycoside_N-acetyltransferase_AAC(6')-Iak
NCBI_8072	aac(6')-Iak	NA	AAC(6')-Iak		aminoglycoside_N-acetyltransferase_AAC(6')-Iak
NCBI_6807	aac(6')-Ial	NA	AAC(6')-Ial		aminoglycoside_N-acetyltransferase_AAC(6')-Ial
NCBI_5837	aac(6')-Ian	NA	AAC(6')-Ian		aminoglycoside_N-acetyltransferase_AAC(6')-Ian
NCBI_7971	aac(6')-Ian	NA	AAC(6')-Ian		aminoglycoside_N-acetyltransferase_AAC(6')-Ian
NCBI_4891	aac(6')-Iap	NA	AAC(6')-Iap		aminoglycoside_6'-N-acetyltransferase_AAC(6')-Iap
ARGANNOT_45	aac6-Ib	NA	AAC(6')-Ib	AAC(6')-Ib	AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase
NCBI_6694	aac(6')-Ib'	NA	AAC(6')-Ib'		aminoglycoside_N-acetyltransferase_AAC(6')-Ib'
CARD_1251	AAC(6')-Ib10	AAC(6')-Ib10	AAC(6')-Ib10		aminoglycoside_N-acetyltransferase_AAC(6')-Ib10
NCBI_2077	aac(6')-Ib11	NA	AAC(6')-Ib11		aminoglycoside_N-acetyltransferase_AAC(6')-Ib11
NCBI_7322	aac(6')-Ib11	NA	AAC(6')-Ib11		aminoglycoside_N-acetyltransferase_AAC(6')-Ib11
NCBI_7255	aac(6')-Ib3	aac(6')-Ib10	AAC(6')-Ib3		aminoglycoside_N-acetyltransferase_AAC(6')-Ib3
NCBI_6152	aac(6')-Ib4	NA	AAC(6')-Ib4		aminoglycoside_N-acetyltransferase_AAC(6')-Ib4
CARD_1905	AAC(6')-Ib7	AAC(6')-Ib7	AAC(6')-Ib7		aminoglycoside_N-acetyltransferase_AAC(6')-Ib7
CARD_1895	AAC(6')-Ib8	AAC(6')-Ib8	AAC(6')-Ib8		aminoglycoside_N-acetyltransferase_AAC(6')-Ib8
CARD_916	AAC(6')-Ib9	AAC(6')-Ib9	AAC(6')-Ib9		aminoglycoside_N-acetyltransferase_AAC(6')-Ib9
NCBI_1984	aac(6')-Ib-AGKT	NA	AAC(6')-Ib-AGKT		AAC(6')-Ib_family_aminoglycoside_6'-N-acetyltransferase
NCBI_2220	aac(6')-Ib-AGKT	NA	AAC(6')-Ib-AGKT		AAC(6')-Ib_family_aminoglycoside_6'-N-acetyltransferase
NCBI_100	aac(6')-Ib-AKT	NA	AAC(6')-Ib-AKT		AAC(6')-Ib_family_aminoglycoside_6'-N-acetyltransferase
NCBI_101	aac(6')-Ib-AKT	NA	AAC(6')-Ib-AKT		AAC(6')-Ib_family_aminoglycoside_6'-N-acetyltransferase
NCBI_1894	aac(6')-Ib-AKT	NA	AAC(6')-Ib-AKT		AAC(6')-Ib_family_aminoglycoside_6'-N-acetyltransferase
NCBI_2055	aac(6')-Ib-AKT	NA	AAC(6')-Ib-AKT		AAC(6')-Ib_family_aminoglycoside_6'-N-acetyltransferase
NCBI_2143	aac(6')-Ib-AKT	NA	AAC(6')-Ib-AKT		AAC(6')-Ib_family_aminoglycoside_6'-N-acetyltransferase
NCBI_2178	aac(6')-Ib-AKT	NA	AAC(6')-Ib-AKT		AAC(6')-Ib_family_aminoglycoside_6'-N-acetyltransferase
NCBI_2179	aac(6')-Ib-AKT	NA	AAC(6')-Ib-AKT		AAC(6')-Ib_family_aminoglycoside_6'-N-acetyltransferase
NCBI_2207	aac(6')-Ib-AKT	NA	AAC(6')-Ib-AKT		AAC(6')-Ib_family_aminoglycoside_6'-N-acetyltransferase
NCBI_2290	aac(6')-Ib-AKT	NA	AAC(6')-Ib-AKT		AAC(6')-Ib_family_aminoglycoside_6'-N-acetyltransferase
NCBI_2328	aac(6')-Ib-AKT	NA	AAC(6')-Ib-AKT		AAC(6')-Ib_family_aminoglycoside_6'-N-acetyltransferase
NCBI_2465	aac(6')-Ib-AKT	NA	AAC(6')-Ib-AKT		AAC(6')-Ib_family_aminoglycoside_6'-N-acetyltransferase
NCBI_2537	aac(6')-Ib-AKT	NA	AAC(6')-Ib-AKT		AAC(6')-Ib_family_aminoglycoside_6'-N-acetyltransferase
NCBI_2822	aac(6')-Ib-AKT	NA	AAC(6')-Ib-AKT		AAC(6')-Ib_family_aminoglycoside_6'-N-acetyltransferase
NCBI_3420	aac(6')-Ib-AKT	NA	AAC(6')-Ib-AKT		AAC(6')-Ib_family_aminoglycoside_6'-N-acetyltransferase
NCBI_3572	aac(6')-Ib-AKT	NA	AAC(6')-Ib-AKT		AAC(6')-Ib_family_aminoglycoside_6'-N-acetyltransferase
NCBI_4010	aac(6')-Ib-AKT	NA	AAC(6')-Ib-AKT		AAC(6')-Ib_family_aminoglycoside_6'-N-acetyltransferase
NCBI_60	aac(6')-Ib-AKT	NA	AAC(6')-Ib-AKT		AAC(6')-Ib_family_aminoglycoside_6'-N-acetyltransferase
NCBI_97	aac(6')-Ib-AKT	NA	AAC(6')-Ib-AKT		AAC(6')-Ib_family_aminoglycoside_6'-N-acetyltransferase
NCBI_98	aac(6')-Ib-AKT	NA	AAC(6')-Ib-AKT		AAC(6')-Ib_family_aminoglycoside_6'-N-acetyltransferase
CARD_401	AAC_6_IB_Su	AAC(6')-Ib-Suzhou	aac(6')-Ib-cr	AAC_6_IB_Su	aminoglycoside 6'-N-acetyltransferase Ib cr
ARGANNOT_66	aac(6')-Ib-cr	NA	AAC(6')-Ib-cr		aminoglycoside 6'-N-acetyltransferase type Ib-cr
NCBI_2183	aac(6')-Ib-cr	NA	AAC(6')-Ib-cr		fluoroquinolone-acetylating_aminoglycoside_6'-N-acetyltransferase_AAC(6')-Ib-cr
NCBI_3433	aac(6')-Ib-cr10	NA	AAC(6')-Ib-cr10		fluoroquinolone-acetylating_aminoglycoside_6'-N-acetyltransferase_AAC(6')-Ib-cr10
NCBI_4009	aac(6')-Ib-cr11	NA	AAC(6')-Ib-cr11		fluoroquinolone-acetylating_aminoglycoside_6'-N-acetyltransferase_AAC(6')-Ib-cr11
CARD_2658	AAC(6')-Ib-cr3	AAC(6')-Ib-cr3	AAC(6')-Ib-cr3		fluoroquinolone-acetylating_aminoglycoside_6'-N-acetyltransferase_AAC(6')-Ib-cr3
NCBI_2155	aac(6')-Ib-cr3	NA	AAC(6')-Ib-cr3		fluoroquinolone-acetylating_aminoglycoside_6'-N-acetyltransferase_AAC(6')-Ib-cr3
CARD_2659	AAC(6')-Ib-cr4	AAC(6')-Ib-cr4	AAC(6')-Ib-cr4		fluoroquinolone-acetylating_aminoglycoside_6'-N-acetyltransferase_AAC(6')-Ib-cr4
NCBI_1983	aac(6')-Ib-cr4	NA	AAC(6')-Ib-cr4		fluoroquinolone-acetylating_aminoglycoside_6'-N-acetyltransferase_AAC(6')-Ib-cr4
NCBI_103	aac(6')-Ib-cr5	NA	AAC(6')-Ib-cr5		fluoroquinolone-acetylating_aminoglycoside_6'-N-acetyltransferase_AAC(6')-Ib-cr5
CARD_2661	AAC(6')-Ib-cr6	AAC(6')-Ib-cr6	AAC(6')-Ib-cr6		fluoroquinolone-acetylating_aminoglycoside_6'-N-acetyltransferase_AAC(6')-Ib-cr6
NCBI_102	aac(6')-Ib-cr6	NA	AAC(6')-Ib-cr6		fluoroquinolone-acetylating_aminoglycoside_6'-N-acetyltransferase_AAC(6')-Ib-cr6
NCBI_2150	aac(6')-Ib-cr7	NA	AAC(6')-Ib-cr7		fluoroquinolone-acetylating_aminoglycoside_6'-N-acetyltransferase_AAC(6')-Ib-cr7
NCBI_3905	aac(6')-Ib-cr8	NA	AAC(6')-Ib-cr8		fluoroquinolone-acetylating_aminoglycoside_6'-N-acetyltransferase_AAC(6')-Ib-cr8
NCBI_3568	aac(6')-Ib-cr9	NA	AAC(6')-Ib-cr9		fluoroquinolone-acetylating_aminoglycoside_6'-N-acetyltransferase_AAC(6')-Ib-cr9
NCBI_1961	aac(6')-Ib-D181Y	NA	AAC(6')-Ib-D181Y		AAC(6')-Ib_family_aminoglycoside_6'-N-acetyltransferase
