Feature	Score
multidrug_efflux_MFS_transporter_periplasmic_adaptor_subunit_EmrA|SNP-912-912	2
penicillin_binding_protein_PBP4B|SNP-267-267	4
Multidrug_resistance_protein_MdtK|SNP-276-276	2
23S_rRNA_(guanine(745)-N(1))-methyltransferase|SNP-540-540	4
chloramphenicol/florfenicol_efflux_MFS_transporter_FloR|SNP-479-479	0
sensor_histidine_kinase_KdpD|SNP-1539-1539	1
multidrug_resistance_outer_membrane_protein_MdtQ|SNP-537-537	2
bifunctional_UDP-4-amino-4-deoxy-L-arabinose_formyltransferase/UDP-glucuronic_acid_oxidase_ArnA|SNP-45-45	2
transcriptional_regulator_LeuO|SNP-516-516	4
multidrug_efflux_RND_transporter_permease_subunit_MdsB|SNP-565-565	6
multidrug_efflux_RND_transporter_permease_subunit_MdsB|SNP-1224-1224	4
phosphoethanolamine_transferase_EptA|SNP-90-90	2
DNA-binding_transcriptional_regulator_H-NS|SNP-255-255	0
chloramphenicol/florfenicol_efflux_MFS_transporter_FloR|SNP-441-441	2
quinolone_resistance_pentapeptide_repeat_protein_QnrB22	0
extended-spectrum_class_A_beta-lactamase_CTX-M-64	0
extended-spectrum_class_A_beta-lactamase_CTX-M-123	2
extended-spectrum_class_C_beta-lactamase_DHA-1	0
extended-spectrum_class_A_beta-lactamase_CTX-M-130	1
macrolide_resistance_MFS_transporter_Mrx(A)|SNP-333-333	2
ANT(3'')-Ia_family_aminoglycoside_nucleotidyltransferase_AadA|SNP-666-666	0
multidrug_efflux_transporter_outer_membrane_subunit_MdsC|SNP-917-917	4
DNA-directed_RNA_polymerase_subunit_beta(rpoB)|SNP-915-915	0
multidrug_efflux_transporter_outer_membrane_subunit_MdsC|SNP-878-878	2
DNA-directed_RNA_polymerase_subunit_beta(rpoB)|SNP-993-993	0
Multidrug_resistance_protein_MdtK|SNP-1059-1059	4
ANT(3'')-Ia_family_aminoglycoside_nucleotidyltransferase_AadA|SNP-393-393	2
Macrolide_export_ATP-binding/permease_protein_MacB|SNP-1587-1587	4
multidrug_efflux_transporter_outer_membrane_subunit_MdsC|SNP-1479-1479	0
multidrug_efflux_MFS_transporter_MdtM|SNP-1149-1149	2
DNA-directed_RNA_polymerase_subunit_beta(rpoB)|SNP-3417-3417	6
DNA-directed_RNA_polymerase_subunit_beta(rpoB)|SNP-3282-3282	0
multidrug_efflux_RND_transporter_subunit_MdtA|SNP-1167-1167	4
LPS_assembly_protein_LptD|SNP-906-906	0
sensor_histidine_kinase_KdpD|SNP-756-756	8
Multidrug_resistance_protein_MdtK|SNP-813-813	6
eptB|SNP-1624-1624	2
multidrug_efflux_RND_transporter_subunit_MdtA|SNP-666-666	1
type_B-3_chloramphenicol_O-acetyltransferase_CatB3	0
chloramphenicol_efflux_MFS_transporter_CmlV	0
multidrug_efflux_RND_transporter_periplasmic_adaptor_subunit_OqxA	0
eptB|SNP-750-750	6
chloramphenicol/florfenicol_efflux_MFS_transporter_FloR|SNP-482-482	0
DNA-directed_RNA_polymerase_subunit_beta(rpoB)|SNP-3531-3531	6
ANT(3'')-Ia_family_aminoglycoside_nucleotidyltransferase_AadA|SNP-657-657	6
sulfonamide-resistant_dihydropteroate_synthase_Sul2|SNP-792-792	4
chloramphenicol/florfenicol_efflux_MFS_transporter_FloR|SNP-478-478	2
DNA-directed_RNA_polymerase_subunit_beta(rpoB)|SNP-708-708	6
multidrug_efflux_MFS_transporter_MdtM|SNP-121-121	4
sensor_histidine_kinase_KdpD|SNP-1428-1428	8
multidrug_efflux_MFS_transporter_MdtM|SNP-513-513	2
ANT(3'')-Ia_family_aminoglycoside_nucleotidyltransferase_AadA|SNP-48-48	6
Macrolide_export_protein_MacA|SNP-1018-1018	4
multidrug_efflux_RND_transporter_periplasmic_adaptor_subunit_MdsA|SNP-1027-1027	2
aminoglycoside_N-acetyltransferase_AAC(6')-Iy|SNP-426-426	4
Macrolide_export_ATP-binding/permease_protein_MacB|SNP-960-960	2
phosphoethanolamine--lipid_A_transferase_MCR-1.1	0
transcriptional_regulator_LeuO|SNP-725-725	0
16S_rRNA_(adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase_RsmA|SNP-597-597	2
multidrug_efflux_MFS_transporter_MdtM|SNP-1056-1056	4
LPS_assembly_protein_LptD|SNP-2010-2010	2
LPS_assembly_protein_LptD|SNP-940-940	0
Outer_membrane_protein_TolC|delete-868-869	1
DNA_gyrase_subunit_A_GyrA|SNP-248-248	2
DNA_gyrase_subunit_B|SNP-1206-1206	4
16S_rRNA_(adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase_RsmA|SNP-354-354	1
LPS_assembly_protein_LptD|SNP-1281-1281	2
DNA_topoisomerase_IV_subunit_B_ParE|SNP-1695-1695	0
UDP-glucose_6-dehydrogenase|SNP-267-267	2
D-alanine--D-alanine_ligase_ddlA|SNP-427-427	1
Outer_membrane_protein_TolC|delete-869-870	4
eptB|SNP-1155-1155	4
two-component_system_sensor_histidine_kinase_PhoQ|SNP-88-88	0
Outer_membrane_protein_TolC|SNP-1143-1143	1
multidrug_resistance_outer_membrane_protein_MdtQ|SNP-63-63	2
MBL_fold_metallo-hydrolase(WP_001522969.1)	2
multidrug_efflux_RND_transporter_permease_subunit_OqxB	0
chloramphenicol_efflux_MFS_transporter_CmlA1	0
MBL_fold_metallo-hydrolase(WP_001109471.1)	1
type_A-2_chloramphenicol_O-acetyltransferase_CatII	0
quinolone_resistance_pentapeptide_repeat_protein_QnrB43	0
quinolone_resistance_pentapeptide_repeat_protein_QnrS1	2
NAD(+)--rifampin_ADP-ribosyltransferase_Arr-3	0
trimethoprim-resistant_dihydrofolate_reductase_DfrA27	2
aminoglycoside_6'-N-acetyltransferase_AAC(6')-Ib-cr6	0
quinolone_resistance_pentapeptide_repeat_protein_QnrS2	2
chloramphenicol/florfenicol_efflux_MFS_transporter_FloR|SNP-359-359	2
DNA_gyrase_subunit_A_GyrA|SNP-259-259	2
chloramphenicol/florfenicol_efflux_MFS_transporter_FloR|SNP-793-793	0
23S_rRNA_(guanine(745)-N(1))-methyltransferase|SNP-632-632	6
DNA_topoisomerase_IV_subunit_A_ParC|SNP-397-397	6
D-alanine--D-alanine_ligase_ddlA|SNP-696-696	4
lipid_IV(A)_4-amino-4-deoxy-L-arabinosyltransferase|SNP-621-621	2
DNA_topoisomerase_IV_subunit_A_ParC|SNP-591-591	2
DNA_topoisomerase_IV_subunit_A_ParC|SNP-1857-1857	6
D-alanine--D-alanine_ligase_ddlA|SNP-585-585	2
sulfonamide-resistant_dihydropteroate_synthase_Sul2|SNP-489-489	4
multidrug_efflux_RND_transporter_permease_subunit_MdsB|SNP-1704-1704	6
23S_rRNA_(guanine(745)-N(1))-methyltransferase|SNP-543-543	8
DNA_topoisomerase_IV_subunit_A_ParC|SNP-303-303	6
D-alanine--D-alanine_ligase_ddlA|SNP-138-138	6
undecaprenyl-phosphate_4-deoxy-4-formamido-L-arabinose_transferase|SNP-885-885	4
DNA_gyrase_subunit_B|SNP-726-726	2
DNA_gyrase_subunit_A_GyrA|SNP-1203-1203	0
UDP-glucose_6-dehydrogenase|SNP-179-179	2
aminoglycoside_N-acetyltransferase_AAC(3)-IId	2
aminoglycoside_N-acetyltransferase_AAC(3)-Id	2
aminoglycoside_N-acetyltransferase_AAC(3)-IIe	0
16S_rRNA_(guanine(1405)-N(7))-methyltransferase_RmtB1	2
aminoglycoside_O-phosphotransferase_APH(3'')-Ib	6
trimethoprim-resistant_dihydrofolate_reductase_DfrA17	2
aminoglycoside_N-acetyltransferase_AAC(3)-VIa	0
sensor_histidine_kinase_KdpD|SNP-1005-1005	6
macrolide_resistance_MFS_transporter_Mrx(A)|SNP-1063-1063	0
UDP-glucose_6-dehydrogenase|SNP-336-336	2
multidrug_efflux_RND_transporter_permease_subunit_MdsB|SNP-126-126	2
Au(I)_sensor_transcriptional_regulator_GolS|SNP-441-441	6
UDP-glucose_6-dehydrogenase|SNP-1125-1125	2
multidrug_efflux_RND_transporter_periplasmic_adaptor_subunit_MdsA|SNP-1131-1131	1
sensor_histidine_kinase_KdpD|SNP-2077-2077	2
phosphoethanolamine--lipid_A_transferase_MCR-1.1|SNP-1519-1519	0
DNA-directed_RNA_polymerase_subunit_beta(rpoB)|SNP-2944-2944	0
eptB|SNP-238-238	4
penicillin_binding_protein_PBP4B|SNP-285-285	2
DNA-directed_RNA_polymerase_subunit_beta(rpoB)|SNP-2046-2046	4
lipid_IV(A)_4-amino-4-deoxy-L-arabinosyltransferase|SNP-1060-1060	4
bifunctional_UDP-4-amino-4-deoxy-L-arabinose_formyltransferase/UDP-glucuronic_acid_oxidase_ArnA|SNP-1819-1819	4
aminoglycoside_O-phosphotransferase_APH(3')-Ia|SNP-252-252	1
DNA-binding_transcriptional_regulator_RamA	4
bleomycin_binding_protein(pseudo)	2
MBL_fold_metallo-hydrolase(WP_240829419.1)	4
quinolone_resistance_pentapeptide_repeat_protein_QnrB10	6
multidrug_efflux_RND_transporter_permease_subunit_OqxB2	0
DNA_topoisomerase_IV_subunit_A_ParC|SNP-239-239	2
DNA_gyrase_subunit_A_GyrA|SNP-260-260	2
DNA_topoisomerase_IV_subunit_A_ParC|SNP-1783-1783	4
multidrug_efflux_RND_transporter_permease_subunit_MdsB|SNP-2640-2640	2
TetR/AcrR_family_transcriptional_regulator_RamR|SNP-309-309	4
sensor_histidine_kinase_KdpD|SNP-477-477	4
MBL_fold_metallo-hydrolase(WP_000976561.1)|SNP-35-35	2
penicillin_binding_protein_PBP4B|SNP-333-333	8
lipid_IV(A)_4-amino-4-deoxy-L-arabinosyltransferase|SNP-792-792	6
quaternary_ammonium_compound_efflux_SMR_transporter_QacE_delta_1	4
trimethoprim-resistant_dihydrofolate_reductase_DfrA12	0
trimethoprim-resistant_dihydrofolate_reductase_DfrA14	4
OXA-10_family_class_D_beta-lactamase_OXA-74	0
Bcr/CflA_family_multidrug_efflux_MFS_transporter(WP_000213396.1)	2
trimethoprim-resistant_dihydrofolate_reductase_DfrA1	2
ANT(3'')-Ia_family_aminoglycoside_nucleotidyltransferase_AadA5	2
Multidrug_resistance_protein_MdtK|SNP-111-111	4
DNA-directed_RNA_polymerase_subunit_beta(rpoB)|SNP-780-780	6
sensor_histidine_kinase_KdpD|SNP-2238-2238	1
eptB|SNP-945-945	6
bifunctional_UDP-4-amino-4-deoxy-L-arabinose_formyltransferase/UDP-glucuronic_acid_oxidase_ArnA|SNP-66-66	4
Macrolide_export_protein_MacA|SNP-1092-1092	1
Outer_membrane_protein_TolC|SNP-1095-1095	2
tetracycline_efflux_MFS_transporter_Tet(B)	2
tetracycline_repressor_protein_class_A(tetR)	4
tetracycline_efflux_MFS_transporter_Tet(G)	0
tetracycline_resistance_transcriptional_repressor_TetR(G)	0
tetracycline_efflux_MFS_transporter_Tet(D)	0
